Question,Answer,Class
Quels sont les frais de retrait d'argent via Orange Money?,"Bonjour , ci-dessous les tarifs de retrait d'argent via Orange Money:
Entre 1 et 495 = 25 fr 
Entre 500 et 1100 = 90 fr 
Entre 1105 et 3000 = 180 fr 
Entre 3 005 et 5 000 = 350 fr 
Entre 5 005 et 10 000 = 500 fr 
Entre 10 005 et 15 000 = 700 fr 
Entre 15 005 et 20 000 = 900 fr 
Entre 20 005 et 35 000 = 1 400 fr 
Entre 35 005 et 60 000 = 1 700 fr 
Entre 60 005 et 100 000 = 2 600 fr 
Entre 100 005 et 175 000 = 3 500 fr 
Entre 175 005 et 200 000 = 4 500 fr 
Entre 200 005 et 300 000 = 6 000 fr 
Entre 300 005 et 400 000 = 8 000 fr 
Entre 400 005 et 750 000 = 11 000 fr 
Entre 750 005 1 500 000 = 20 000 fr
Ci dessous le simulateur de frais 
https://www.orange.sn/2/particuliers/1/3/paiement-73701.html",Orange Money
Comment faire pour modifier le mot de passe WIFI de la LiveBox ?,"1. Te connecter sur la LiveBox
2. Accéder à l'interface de la LiveBox via le 192.168.1.1  
3. Cliquer l'onglet Configurations Avancées
4. Cliquer sur l'onglet Wifi
5. Et enfin cliquer sur modifier la clè de sécurité (la clé à saisir est au minimum 8 caractères)",Internet et fixe
Comment faire pour souscrire à l’offre Keurgui ?,"Pour souscrire, il faut se rendre dans une agence sonatel avec :
Votre pièce d’identité ou passeport en vigueur,
Justificatif de domicile ou facture à votre nom,
Payer les frais d’accès de 25 000FTTC",Internet et fixe
Ma connexion internet ne marche pas et le voyant @ de ma livebox est de couleur rouge. Que faire?,"Si le voyant @ de votre livebox et de couleur rouge, cela signifie que vous n'avez pas de synchronisation. Il faut vérifier si un des bouts du câble fin est bien branché sur le port adsl, situé sur le côté gauche de la livebox. L'autre bout devrait être bien branché en dessous du filtre  (petite boite blanche) branché sur la prise murale. Il serait même mieux de débrancher carrément le câble, d'intervertir les 2 bouts et le rebrancher. Si la couleur rouge persiste, il faudra contacter l'assistance Orange sur la page Orange sur facebook ou sur le compte @supportorange Twitter.",Tutoriel
A combien s'élèvent les frais de transfert via Orange Money avec et sans code?,"Les frais de transfert via Orange Money avec et sans code sont disponibles sur le tableau ci-dessous.
Ils sont également disponibles dans le menu Orange Money au moment d'effectuer l'opération de transfert.",Orange Money
Quels sont les différents pass volume et leurs tarifs ?,"1.Pass Scool 25 Mo à 100F valable 1 jour;
2.Pass scool 150Mo à 500F valable semaine;   
3.Pass  75Mo à 250F valable 1 jour;  
4.Pass 250Mo à 500F  valable 1 jour;  
5.Pass  400Mo à 1000F  valable 1 semaine; 
6. Pass 1Go Mo à 2000F  valable 1 semaine;   
7. Pass 2,5 Go à 5000F valable 1 mois;
8. Pass 7 Go à 10 000F valable 1 mois; 
9. Pass 15 Go à 19 000F  valable 1 mois.
10. Pass 25 Go à 25 000F  valable 1 mois.",Internet mobile
Comment travailler à la SONATEL ?,"Bonjour, 
Vous pouvez nous rejoindre sur le lien http://sonatel.sn/candidature/
Bonne chance",Entre nous
Demande d'abonnement en ligne,"Bonjour,
Pour toute demande d'abonnement en ligne, vous pouvez-nous contacter via l'adresse mail commandespartelephone@orange-sonatel.com.",Internet et fixe
Comment faire pour travailler à la Sonatel?,"Pour les demandes de stage ou d'emploi aller sur le lien:
http://www.sonatel.sn/ressources-humaines/.",Entre nous
Comment configurer manuellement la connexion mobile sur un smartphone Android?,"Pour configurer votre Smarphone avec les paramètres de connexion d'Orange Sénégal il faut :
-Aller dans le menu Réglages ou Paramètres.
- Sélectionner Réseaux mobiles
- Cliquer sur Noms des points d'accès et créer un nouvel APN
Les paramètres internet sont les suivants :
- Nom : Orange Internet
- APN : internet
Une fois les paramètres saisis, enregistrez et activez votre nouveau profil internet.",Internet mobile
